 2.5736278 -1.4858879  4.6208510
 0.0000000  2.9717703  4.6208510
-2.5736278 -1.4858879  4.6208510
2 0 0
0 2 0
0 0 2
 1.2203788  0.8632848  0.6076235 O
 1.6076233  0.2203801  0.8632838 O
 1.1076247  0.3632863  1.7203747 O
 1.7203746  0.1076257  1.3632854 O
 1.3632857  0.7203751  1.1076249 O
 1.8632840  0.6076245  1.2203786 O
 1.2203788  0.8632848  1.6076235 O
 1.6076233  0.2203801  1.8632838 O
 1.1076247  1.3632863  0.7203747 O
 1.7203746  1.1076257  0.3632854 O
 1.3632857  1.7203751  0.1076249 O
 1.8632840  1.6076245  0.2203786 O
 1.2203788  1.8632848  0.6076235 O
 1.6076233  1.2203801  0.8632838 O
 1.1076247  1.3632863  1.7203747 O
 1.7203746  1.1076257  1.3632854 O
 1.3632857  1.7203751  1.1076249 O
 1.8632840  1.6076245  1.2203786 O
 1.2203788  1.8632848  1.6076235 O
 1.6076233  1.2203801  1.8632838 O
end

 2.5736278 -1.4858879  4.6208510
 0.0000000  2.9717703  4.6208510
-2.5736278 -1.4858879  4.6208510
2 0 0
0 2 0
0 0 2
 0.2818881  0.2818886  0.2818881 Li
 0.7818859  0.7818873  0.7818859 Li
 0.2818881  0.2818886  1.2818881 Li
 0.7818859  0.7818873  1.7818859 Li
 0.2818881  1.2818886  0.2818881 Li
 0.7818859  1.7818873  0.7818859 Li
 0.2818881  1.2818886  1.2818881 Li
 0.7818859  1.7818873  1.7818859 Li
 1.2818881  0.2818886  0.2818881 Li
 1.7818859  0.7818873  0.7818859 Li
 1.2818881  0.2818886  1.2818881 Li
 1.7818859  0.7818873  1.7818859 Li
 1.2818881  1.2818886  0.2818881 Li
 1.7818859  1.7818873  0.7818859 Li
 1.2818881  1.2818886  1.2818881 Li
 1.7818859  1.7818873  1.7818859 Li
 0.0004101  0.0004101  0.0004101 Nb
 0.5004086  0.5004095  0.5004086 Ta
 0.0004101  0.0004101  1.0004101 Nb
 0.5004086  0.5004095  1.5004086 Nb
 0.0004101  1.0004101  0.0004101 Nb
 0.5004086  1.5004095  0.5004086 Ta
 0.0004101  1.0004101  1.0004101 Nb
 0.5004086  1.5004095  1.5004086 Ta
 1.0004101  0.0004101  0.0004101 Nb
 1.5004086  0.5004095  0.5004086 Ta
 1.0004101  0.0004101  1.0004101 Ta
 1.5004086  0.5004095  1.5004086 Ta
 1.0004101  1.0004101  0.0004101 Nb
 1.5004086  1.5004095  0.5004086 Nb
 1.0004101  1.0004101  1.0004101 Nb
 1.5004086  1.5004095  1.5004086 Nb
 0.1076247  0.3632863  0.7203747 O
 0.7203746  0.1076257  0.3632854 O
 0.3632857  0.7203751  0.1076249 O
 0.8632840  0.6076245  0.2203786 O
 0.2203788  0.8632848  0.6076235 O
 0.6076233  0.2203801  0.8632838 O
 0.1076247  0.3632863  1.7203747 O
 0.7203746  0.1076257  1.3632854 O
 0.3632857  0.7203751  1.1076249 O
 0.8632840  0.6076245  1.2203786 O
 0.2203788  0.8632848  1.6076235 O
 0.6076233  0.2203801  1.8632838 O
 0.1076247  1.3632863  0.7203747 O
 0.7203746  1.1076257  0.3632854 O
 0.3632857  1.7203751  0.1076249 O
 0.8632840  1.6076245  0.2203786 O
 0.2203788  1.8632848  0.6076235 O
 0.6076233  1.2203801  0.8632838 O
 0.1076247  1.3632863  1.7203747 O
 0.7203746  1.1076257  1.3632854 O
 0.3632857  1.7203751  1.1076249 O
 0.8632840  1.6076245  1.2203786 O
 0.2203788  1.8632848  1.6076235 O
 0.6076233  1.2203801  1.8632838 O
 1.1076247  0.3632863  0.7203747 O
 1.7203746  0.1076257  0.3632854 O
 1.3632857  0.7203751  0.1076249 O
 1.8632840  0.6076245  0.2203786 O
 1.2203788  0.8632848  0.6076235 O
 1.6076233  0.2203801  0.8632838 O
 1.1076247  0.3632863  1.7203747 O
 1.7203746  0.1076257  1.3632854 O
 1.3632857  0.7203751  1.1076249 O
 1.8632840  0.6076245  1.2203786 O
 1.2203788  0.8632848  1.6076235 O
 1.6076233  0.2203801  1.8632838 O
 1.1076247  1.3632863  0.7203747 O
 1.7203746  1.1076257  0.3632854 O
 1.3632857  1.7203751  0.1076249 O
 1.8632840  1.6076245  0.2203786 O
 1.2203788  1.8632848  0.6076235 O
 1.6076233  1.2203801  0.8632838 O
 1.1076247  1.3632863  1.7203747 O
 1.7203746  1.1076257  1.3632854 O
 1.3632857  1.7203751  1.1076249 O
 1.8632840  1.6076245  1.2203786 O
 1.2203788  1.8632848  1.6076235 O
 1.6076233  1.2203801  1.8632838 O
end

